book_id,isbn,isbn13,authors,publication_year,title,language_code,average_rating,image_url
1,439023483,9.78E+12,Suzanne Collins,2008,The Hunger Games,eng,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,439554934,9.78E+12,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg
3,316015849,9.78E+12,Stephenie Meyer,2005,Twilight,en-US,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,61120081,9.78E+12,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,743273567,9.78E+12,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,525478817,9.78E+12,John Green,2012,The Fault in Our Stars,eng,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,618260307,9.78E+12,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,316769177,9.78E+12,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,1416524797,9.78E+12,Dan Brown,2000,Angels & Demons ,en-CA,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg
10,679783261,9.78E+12,Jane Austen,1813,Pride and Prejudice,eng,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,1594480001,9.78E+12,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,62024035,9.78E+12,Veronica Roth,2011,Divergent,eng,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,451524934,9.78E+12,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,452284244,9.78E+12,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,553296981,9.78E+12,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,307269752,9.78E+12,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,439023491,9.78E+12,Suzanne Collins,2009,Catching Fire,eng,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,043965548X,9.78E+12,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg
19,618346252,9.78E+12,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg
20,439023513,9.78E+12,Suzanne Collins,2010,Mockingjay,eng,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,439358078,9.78E+12,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg
22,316166685,9.78E+12,Alice Sebold,2002,The Lovely Bones,eng,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,439064864,9.78E+12,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,439139600,9.78E+12,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg
25,545010225,9.78E+12,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng,4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,307277674,9.78E+12,Dan Brown,2003,The Da Vinci Code,eng,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg
27,439785960,9.78E+12,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg
28,140283331,9.78E+12,William Golding,1954,Lord of the Flies ,eng,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,743477111,9.78E+12,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,297859382,9.78E+12,Gillian Flynn,2012,Gone Girl,eng,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,399155341,9.78E+12,Kathryn Stockett,2009,The Help,eng,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,142000671,9.78E+12,John Steinbeck,1937,Of Mice and Men ,eng,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg
33,739326228,9.78E+12,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,1612130291,9.78E+12,E.L. James,2011,Fifty Shades of Grey,eng,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,61122416,9.78E+12,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg
36,385732554,9.78E+12,Lois Lowry,1993,The Giver,eng,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,60764899,9.78E+12,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,965818675,9.78E+12,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,553588486,9.78E+12,George R.R. Martin,1996,A Game of Thrones,eng,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,143038419,9.78E+12,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,786838655,9.78E+12,Rick Riordan,2005,The Lightning Thief,eng,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,451529308,9.78E+12,Louisa May Alcott,1868,Little Women,en-US,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,142437204,9.78E+12,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,553816713,9.78E+12,Nicholas Sparks,1996,The Notebook,eng,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,770430074,9.78E+12,Yann Martel,2001,Life of Pi,,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,1565125606,9.78E+12,Sara Gruen,2006,Water for Elephants,eng,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,375831002,9.78E+12,Markus Zusak,2005,The Book Thief,eng,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,307347974,9.78E+12,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,316160199,9.78E+12,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,60513039,9.78E+12,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,1416914285,9.78E+12,Cassandra Clare,2007,City of Bones,eng,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,316160202,9.78E+12,Stephenie Meyer,2007,Eclipse,en-US,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,375826696,9.78E+12,Christopher Paolini,2002,Eragon,en-US,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,345391802,9.78E+12,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg
55,60929871,9.78E+12,Aldous Huxley,1932,Brave New World,eng,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,031606792X,9.78E+12,Stephenie Meyer,2008,Breaking Dawn,en-US,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,142001740,9.78E+12,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,142437174,9.78E+12,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,64410935,9.78E+12,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,1400032717,9.78E+12,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,1594633665,9.78E+12,Paula Hawkins,2015,The Girl on the Train,eng,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,679879242,9.78E+12,Philip Pullman,1995,Northern Lights,eng,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,393978893,9.78E+12,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,743454537,9.78E+12,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,385333846,9.78E+12,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,446675539,9.78E+12,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,1594489505,9.78E+12,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,671027344,9.78E+12,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,7442912,9.78E+12,Veronica Roth,2012,Insurgent,eng,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg
